"16072452227341","16068102971794","16072451204879","COVID-19 and Bangladesh","","","covid-19-and-bangladesh","As the coronavirus outbreak quickly surges worldwide, many countries are adopting non-therapeutic preventive measures, which include travel bans, remote office activities, country lockdown, and most importantly, social distancing. However, these measures face challenges in Bangladesh, a lower-middle-income economy with one of the world's densest populations. Social distancing is difficult in many areas of the country, and with the minimal resources the country has, it would be extremely challenging to implement the mitigation measures.","","As the coronavirus outbreak quickly surges worldwide, many countries are adopting non-therapeutic preventive measures, which include travel bans, remote office activities, country lockdown, and most importantly, social distancing. However, these measures face challenges in Bangladesh, a lower-middle-income economy with one of the world's densest populations. Social distancing is difficult in many areas of the country, and with the minimal resources the country has, it would be extremely challenging to implement the mitigation measures. Mobile sanitization facilities and temporary quarantine sites and healthcare facilities could help mitigate the impact of the pandemic at a local level. A prompt, supportive, and empathic collaboration between the Government, citizens, and health experts, along with international assistance, can enable the country to minimize the impact of the pandemic.","","draft","2020-12-06 09:00:22","6 Dec, 2020","6 Dec, 2020"
"16072457214474","16068102971794","16072450334791","HISTORY OF THE CRICKET BAT","","Bat","history-of-the-cricket-bat","1624 - This is the first time that we have any mention of a cricket bat. An inquest was carried out after a fielder was killed. The batsman had tried to prevent him from catching the ball, and had presumably whacked him on the head in the process! Originally bowlers used to bowl the ball underarm. The cricket bat was therefore shaped very much like a hockey stick.

1770's - The laws were changed to allow ""length bowling"", which was still performed underarm. The cricket bat became roughly parallel with a maximum width of 4.25"". This is still the same today. They were extremely heavy, with the ""swell"" at the bottom.","","1624 - This is the first time that we have any mention of a cricket bat. An inquest was carried out after a fielder was killed. The batsman had tried to prevent him from catching the ball, and had presumably whacked him on the head in the process! Originally bowlers used to bowl the ball underarm. The cricket bat was therefore shaped very much like a hockey stick.

1770's - The laws were changed to allow ""length bowling"", which was still performed underarm. The cricket bat became roughly parallel with a maximum width of 4.25"". This is still the same today. They were extremely heavy, with the ""swell"" at the bottom.","","draft","2020-12-06 09:08:41","6 Dec, 2020","6 Dec, 2020"
"16072458056875","16068102971794","16072450334791","Football","","Football, Fifa","football","Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal. Unqualified, the word football normally means the form of football that is the most popular where the word is used. Sports commonly called football include association football (known as soccer in some countries); gridiron football (specifically American football or Canadian football); Australian rules football; rugby football (either rugby union or rugby league); and Gaelic football.[1][2] These various forms of football share to varying extent common origins and are known as football codes.","","Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal. Unqualified, the word football normally means the form of football that is the most popular where the word is used. Sports commonly called football include association football (known as soccer in some countries); gridiron football (specifically American football or Canadian football); Australian rules football; rugby football (either rugby union or rugby league); and Gaelic football.[1][2] These various forms of football share to varying extent common origins and are known as football codes.","","draft","2020-12-06 09:10:05","6 Dec, 2020","6 Dec, 2020"
"16073230947472","16068102971794","16072450602621","Beauty Tips","","Beautiful","beauty-tips","","","Face oil may sound like a major no-no for oily or acne-prone skin, but trust us, Certified Organic Face Oil is proven to regulate the skin's natural oil production and instantly moisturize. Suitable for all skin types, here's why this Organic Face Oil is the secret to a radiant complexion.","","public","2020-12-07 06:38:14","7 Dec, 2020","7 Dec, 2020"
"16073423053177","16068102971794","16072450602621","Winter","","Birds, Fogg","winter","Birds are a group of warm-blooded vertebrates constituting the class Aves /ˈeɪviːz/, characterized by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5 cm (2 in) bee hummingbird to the 2.75 m (9 ft) ostrich. There are about ten thousand living species, more than half of which are passerine, or ""perching"" birds. Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds.","","Birds are a group of warm-blooded vertebrates constituting the class Aves /ˈeɪviːz/, characterized by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5 cm (2 in) bee hummingbird to the 2.75 m (9 ft) ostrich. There are about ten thousand living species, more than half of which are passerine, or ""perching"" birds. Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds.Birds are a group of warm-blooded vertebrates constituting the class Aves /ˈeɪviːz/, characterized by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5 cm (2 in) bee hummingbird to the 2.75 m (9 ft) ostrich. There are about ten thousand living species, more than half of which are passerine, or ""perching"" birds. Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds.Birds are a group of warm-blooded vertebrates constituting the class Aves /ˈeɪviːz/, characterized by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5 cm (2 in) bee hummingbird to the 2.75 m (9 ft) ostrich. There are about ten thousand living species, more than half of which are passerine, or ""perching"" birds. Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds.","","public","2020-12-07 11:58:25","7 Dec, 2020","7 Dec, 2020"
"16073444244474","16068102971794","16072451204879","qweq","","","qweq","wewqeq","","qweq","","draft","2020-12-07 12:33:44","7 Dec, 2020","7 Dec, 2020"
"16073445776663","16068102971794","16072451204879","retr","","ret","retr","ret","","reter","","draft","2020-12-07 12:36:17","7 Dec, 2020","7 Dec, 2020"
"16098222934079","16068102971794","16097350131776","Arms, Narcotics Cases: Erfan Salim cleared of charges","null","politics, nation","arms,-narcotics-cases:-erfan-salim-cleared-of-charges9GU0BJhvneuL4MCx","In their final report, Chawkbazar police said they did not find evidence to prove the charges against Mohammad Erfan Salim in two cases filed under the narcotics control and arms acts.","null","<p style=""margin-bottom: 21px; font-family: &quot;Droid Serif&quot;, serif; line-height: 24px;"">""We are sending the final report to court today. We did not find evidence to prove the charges beyond doubt,"" Moudud Hawlader, officer-in-charge of Chawkbazar Police Station, told The Daily Star yesterday.</p><p style=""margin-bottom: 21px; font-family: &quot;Droid Serif&quot;, serif; line-height: 24px;"">Erfan's bodyguard Md Zahidul Mollah, however, is not off the hook yet. He is being charged with possession of an illegal firearm, said investigation officer of one of the cases, Inspector Delwar Hossain of the police station.</p><p style=""margin-bottom: 21px; font-family: &quot;Droid Serif&quot;, serif; line-height: 24px;"">Prior to his arrest on October 26, Erfan, son of Dhaka-7 lawmaker and Awami League leader Haji Md Salim, was the councillor of Ward-30 under Dhaka South City Corporation.</p><p style=""margin-bottom: 21px; font-family: &quot;Droid Serif&quot;, serif; line-height: 24px;"">The two cases were filed following a publicised Rab raid on his home and alleged torture cell in the capital's Chawkbazar. A few days before the raid, a navy officer accused 37-year-old Erfan of assaulting him after Erfan's SUV hit the official's motorcycle.</p>","","draft","2021-01-05 04:51:33","5 Jan, 2021","5 Jan, 2021"
"16073456543791","16068102971794","16072451204879","tyyt","","ew","tyyt","weww","","weweqre","","draft","2020-12-07 12:54:14","7 Dec, 2020","7 Dec, 2020"
"16073469212779","16068102971794","16072451204879","dsf","","sd","dsf","sdf","","sdf","","draft","2020-12-07 13:15:21","7 Dec, 2020","7 Dec, 2020"
